modelo,limiar,precisao_nao_alfabetizado,recall_nao_alfabetizado,f1_nao_alfabetizado,acuracia_balanceada,percentual_sinalizado
Floresta profundidade=6,0.45,0.5655443513929242,0.2947096544353402,0.38749341296328826,0.5677531487558426,21.51498437212723
Floresta profundidade=6,0.475,0.6221339040048914,0.18124332027075168,0.28070901441478724,0.5519168314261631,12.0279463136606
Floresta profundidade=6,0.5,0.6343449296817173,0.1526540790879943,0.24608758076094758,0.5453882282456944,9.935649935649936
Floresta profundidade=6,0.525,0.6454069490718706,0.12076950480940506,0.20346612649110962,0.5370553855856381,7.725684868542011
Floresta profundidade=6,0.55,0.6481823783117683,0.09369433558959743,0.16372266749669287,0.5289665389979051,5.968008825151682
Floresta profundidade=6,0.575,0.6573643410852713,0.037762736017100104,0.07142255537774783,0.5119608444286665,2.3717595146166577
Floresta profundidade=6,0.6,0.726027397260274,0.004720342002137513,0.009379700911423768,0.5017338792743825,0.2684316970031256
Floresta profundidade=6,0.625,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.65,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.675,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.7,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.725,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.75,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.775,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.8,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.825,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.85,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.875,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=6,0.9,0.0,0.0,0.0,0.5,0.0
